d1_filter,adx_gate,hurst_gate,vov_gate,rsi_div,entry,exit,partial,oos_trades,oos_total_pips,oos_avg_pips,wf_trades,wf_total_pips,wf_avg_pips
ema_50_200,25,0.53,reject_p75,on,pullback,atr_3.0,off,3678,-2081.06,-0.5658,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,on,immediate,atr_3.0,off,3852,-2569.49,-0.6671,1297,-3510.32,-2.7065
ema_50_200,20,0.53,reject_p75,on,immediate,atr_3.0,off,6042,-4398.97,-0.7281,0,0.0,0.0
ema_50_200,20,0.53,reject_p75,on,immediate,atr_3.0,50pct_1R,6042,-4512.19,-0.7468,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,on,immediate,atr_3.0,50pct_1R,3852,-2956.46,-0.7675,1297,-3438.82,-2.6514
ema_50_200,25,0.53,reject_p75,on,pullback,atr_2.5,off,3678,-2936.79,-0.7985,0,0.0,0.0
ema_50_200,25,0.53,off,on,pullback,atr_2.5,off,5128,-4416.53,-0.8613,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,off,immediate,atr_3.0,off,4176,-3616.26,-0.866,1400,-3451.68,-2.4655
ema_50_200,20,0.53,reject_p75,on,pullback,atr_3.0,off,5748,-5191.72,-0.9032,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,on,pullback,atr_3.0,50pct_1R,3678,-3369.36,-0.9161,1238,-2126.18,-1.7174
ema_50_200,25,0.53,reject_p75,on,immediate,atr_2.5,off,3852,-3614.29,-0.9383,0,0.0,0.0
ema_50_200,25,0.53,off,on,immediate,atr_2.5,off,5379,-5048.19,-0.9385,1892,-4327.66,-2.2873
ema_50_200,25,0.53,reject_p75,off,pullback,atr_3.0,off,3986,-3742.21,-0.9388,0,0.0,0.0
ema_50_200,20,0.53,reject_p75,on,immediate,atr_2.5,off,6042,-5769.95,-0.955,0,0.0,0.0
ema_50_200,20,0.53,reject_p75,off,immediate,atr_3.0,off,6442,-6169.74,-0.9577,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,on,immediate,atr_2.5,50pct_1R,3852,-3775.87,-0.9802,1297,-3731.26,-2.8768
ema_50_200,20,0.53,reject_p75,on,immediate,regime_tighten,off,6042,-6015.8,-0.9957,0,0.0,0.0
ema_50_200,20,0.53,reject_p75,off,immediate,atr_3.0,50pct_1R,6442,-6422.31,-0.9969,0,0.0,0.0
ema_50_200,20,0.53,reject_p75,on,immediate,atr_2.5,50pct_1R,6042,-6104.24,-1.0103,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,off,immediate,atr_3.0,50pct_1R,4176,-4228.01,-1.0125,1400,-3551.18,-2.5366
ema_50_200,25,0.53,off,on,immediate,atr_2.5,50pct_1R,5379,-5577.11,-1.0368,0,0.0,0.0
ema_50_200,20,0.53,reject_p75,on,immediate,regime_tighten,50pct_1R,6042,-6279.31,-1.0393,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,on,pullback,atr_2.5,50pct_1R,3678,-3871.12,-1.0525,0,0.0,0.0
ema_50_200,20,0.53,reject_p75,on,pullback,atr_3.0,50pct_1R,5748,-6054.14,-1.0533,0,0.0,0.0
off,0,0.0,off,on,immediate,regime_tighten,50pct_1R,147094,-156667.56,-1.0651,23901,-16368.29,-0.6848
off,0,0.0,off,on,immediate,regime_tighten,off,147094,-157126.84,-1.0682,0,0.0,0.0
ema_50_200,25,0.53,off,on,pullback,atr_3.0,off,5128,-5486.15,-1.0698,0,0.0,0.0
off,0,0.0,off,off,immediate,regime_tighten,50pct_1R,155430,-166479.19,-1.0711,25366,-15819.57,-0.6237
off,0,0.0,off,off,immediate,regime_tighten,off,155430,-166644.79,-1.0722,0,0.0,0.0
